geometry,artwork_type,material,name,tourism,image,wheelchair,wikidata,wikipedia,artist_name,name:da,name:en,start_date,subject:wikidata,subject:wikipedia,wikimedia_commons,source,toilets:wheelchair,website,heritage,heritage:operator,historic,image:0,lda:criteria,name:de,name:el,name:fr,name:he,name:lb,name:lt,name:ru,name:zh,ref:lda,statue,artist:wikidata,description,name:nl,note,memorial,description:de,addr:floor,artist:wikipedia,level,opening_hours,amenity,date,display,height,inscription,fenced,alt_name,architect,heritage:website,loc_name,direction,name:be,year,fountain,operational_status,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,contact:website,check_date,indoor,phone,support,visibility,old_name,man_made,format,was:image,layer,check_date:opening_hours,description:fr,drinking_water,end_date,natural,operator,sponsor,weight,width,name:pl,addr:full,colour,drinking_water:legal,emergency,network,pump,pump:status,pump:style,ref,wheelchair:description,access,url,bench,shelter_type,animal,artwork:group,name:ar,construction_date,fixme,aircraft:type,seamark:landmark:category,seamark:landmark:conspicuity,seamark:type,name:signed,opening_hours:signed,owner,min_height,reg_name,description:location,lit,location,name:it,note:en,wikimedia_commons:path,inscription:url,covered,leisure,highway,flickr,memorial:conflict,name:es,name:km,source:artist_name,sculpture,artwork_subject,inscription:de,inscription:en,inscription:tr,description:url,board_type,information,playground:theme,mapillary,buried:wikidata,map_location,stone,artwork_group,name:cs,description:en,brand,playground,name:tr,subject,inscription:zh,rer,detail,utility,operator:wikidata,survey:date,ref:schlossgutshofbritz,year_of_construction,denotation,type,contact:facebook,artist:website,alt_name:en,panoramax,official_name,addr:housename,building,building:levels,barrier,smoothness,surface,tunnel,area,name:ja,min_level,roof:shape,incline,ramp,water,backrest,power,ref:signed,website:de,geoglyph:language,handrail,step_count,tactile_paving,tactile_writing:braille:de,tactile_writing:embossed_printed_letters:de,building:colour,building:material,building:part
POINT (13.6250884 52.44417),sculpture,metal,Seepferdchen,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3618687 52.5100656),statue,,Richard Wagner,artwork,https://photos.app.goo.gl/9VgMjZd9uThAhJAb8,yes,Q2148898,en:Richard Wagner Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1649872 52.433884),statue,,Flensburger Löwe,artwork,,limited,Q105045191,,Kopie nach Hermann Wilhelm Bissen,Istedløven,Idsted Lion,1938,Q538360,de:Idstedt-Löwe,Category:Flensburg Lion (Copy in Berlin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4731555 52.5287349),sculpture,stone,Begegnung,artwork,https://fennpfuhl.digital/img/statue/begegnung.jpg.webp,no,Q110311378,,Jo Doese,,,,,,Category:Begegnung (Joachim Doese),local knowledge,no,https://fennpfuhl.digital/park/statue/begegnung/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3927444 52.5172596),statue,,Reiterstandbild Friedrich II. von Preußen,artwork,"https://commons.wikimedia.org/wiki/File:Berlin,_Mitte,_Unter_den_Linden,_Reiterstandbild_Friedrich_II..jpg",yes,Q881611,de:Reiterstandbild Friedrichs des Großen,Christian Daniel Rauch,,Frederick II of Prussia,,,,Category:Reiterstandbild Friedrichs des Großen (Berlin-Mitte),,,,4,lda,statue,https://photos.app.goo.gl/rcLuAwB1XNwfmhGD7,Baudenkmal,Reiterstandbild Friedrich II. von Preußen,ΕΦΙΠΠΟΣ ΑΝΔΡΙΑΝΤΑΣ ΤΟΥ ΜΕΓΓΑΛΟΥ ΦΡΕΙΔΕΡΙΚΟΥ,Frédéric II de Prusse,"פרידריך השני, מלך פרוסיה",Friedrich II. vu Preisen,Frydrichas II iš Prūsijos,Фридрих II,腓特烈二世,09060118,equestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3644883 52.5115682),statue,concrete,Friedrich Wilhelm III. von Preußen,artwork,http://commons.wikimedia.org/wiki/File:Denkmal_Friedrich_WilhelmIII.JPG,yes,Q113341316,,Friedrich Drake,,Frederick William III of Prussia,1982,Q37134,,Category:Friedrich Wilhelm III by Friedrich Drake,,,,,,,,,Friedrich Wilhelm III. von Preußen,,,,,,,,,,Q514178,Kopie von 1982 des Standbilds von Friedrich Drake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3485026 52.5133248),sculpture,bronze,Büffeljagd,artwork,http://commons.wikimedia.org/wiki/File:Wiesenjagd.jpg,yes,Q25063929,en:Altgermanische Wisentjagd,Fritz Schaper,,,,,,Category:Altgermanische Wisentjagd by Fritz Schaper,,,,,,,https://photos.app.goo.gl/8EpJ5qBBVDegoLRPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3486216 52.5132673),sculpture,bronze,Eberjagd,artwork,https://photos.app.goo.gl/VsgmCNtm6L29cNYi6,yes,Q24976714,de:Eberjagd der Renaissancezeit (um 1500),Karl Begas,,,,,,Category:Eberjagd um 1500 by Carl Begas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3463116 52.5115612),sculpture,bronze,Fuchsjagd,artwork,http://commons.wikimedia.org/wiki/File:Fuchsjagd_-_Wilhelm_Haverkamp_-_Mutter_Erde_fec.jpg,yes,Q24976710,de:Fuchsjagd (Haverkamp),Wilhelm Haverkamp,,,,,,Category:Churfürstliche Fuchsjagd by Wilhelm Haverkamp,,,,,,,https://photos.app.goo.gl/hPpYaKniqdjtohSm6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3464481 52.5115004),sculpture,bronze,Hasenhetze,artwork,http://commons.wikimedia.org/wiki/File:Hasenhetze.jpg,yes,Q24976711,en:Hasenhatz zur Rokokozeit,Max Baumbach,,,,,,Category:Hasenhatz der Rokokozeit by Max Baumbach,,,,,,,https://photos.app.goo.gl/1ncpBMvmLBUsFXSk6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3653213 52.5104419),statue,marble,Wilhelm von Preußen,artwork,https://commons.wikimedia.org/wiki/File:Prinz_v_Preussen_Tiergarten.JPG,yes,Q113382896,,Adolf Brütt,,Prince Wilhelm of Prussia,1904,,,,,,,,,,,,Wilhelm von Preußen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3756446 52.5149329),statue,bronze,Löwengruppe,artwork,http://commons.wikimedia.org/wiki/File:Wilhelm_Wolff_Loewengruppe_Berlin.jpg,yes,Q115949613,,Friedrich Wilhelm Wolff,,The Lion Group,,,,,,,,,,,,,Löwengruppe,,,,,,,,,,,,De Leeuwengroep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3953664 52.5171421),statue,,Gerhard von Scharnhorst,artwork,,no,Q61769308,de:Scharnhorst-Denkmal (Berlin),Christian Daniel Rauch,,,,,,Category:Memorial Gerhard von Scharnhorst (Berlin),,,,4,lda,statue,,Baudenkmal,,,,,,,,,09060119,,Q714972,,,Die Statue wurde ab 2021 in das Museum der Zitadelle Spandau verbracht. Der Sockel ist noch vor Ort. Es soll eine Kopie der Statue aufgestellt werden (Stand Mai 2025).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3954905 52.5171501),statue,,Friedrich Wilhelm Bülow,artwork,,no,Q64760457,de:Bülow-Denkmal (Berlin),Christian Daniel Rauch,,,,,,Category:Memorial of Friedrich Wilhelm von Bülow (Berlin),,,,4,lda,statue,,Baudenkmal,,,,,,,,,09095484,,Q714972,,,Die Statue wurde ab 2021 in das Museum der Zitadelle Spandau verbracht. Der Sockel ist noch vor Ort. Es soll eine Kopie der Statue aufgestellt werden (Stand Mai 2025).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3955788 52.5165746),statue,,August von Gneisenau,artwork,,no,Q61769303,de:Gneisenau-Denkmal (Berlin),Christian Daniel Rauch,,,,,,Category:Memorial August Neidhardt von Gneisenau (Berlin),,,,4,lda,statue,,Baudenkmal,,,,,,,,,09060125,,Q714972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3957416 52.5165721),statue,,Gebhard von Blücher,artwork,,no,Q51846342,de:Blücher-Denkmal (Berlin),Christian Daniel Rauch,,,,,,Category:Blücher-Denkmal (Berlin),,,,4,lda,statue,,Baudenkmal,,,,,,,,,09060124,,Q714972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3959003 52.5165948),statue,,Ludwig Yorck,artwork,,no,Q61769306,de:Yorck-Denkmal (Berlin),Christian Daniel Rauch,,,,,,Category:Memorial Johann David Ludwig Yorck von Wartenburg (Berlin),,,,4,lda,statue,,Baudenkmal,,,,,,,,,09060122,,Q714972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5770788 52.5368705),,,Konfuzius,artwork,,,Q108723219,,,,,,,,File:Statue Eisenacher Str 99 (Marza) Konfuzius&Han Xiujuan&2001.jpg,,,,,,memorial,,,,,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4268854 52.5280237),sculpture,,Schneewittchen und Menzel-Zwerg,artwork,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4268436 52.5278474),sculpture,,Dornröschen,artwork,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5848469 52.5437405),sculpture,,,artwork,,,,,,,,,,,File:Bauplastik Luckenwalder Straße 68 Berlin-Hellersdorf 01.jpg,,,,,,,,,,,,,,,,,,,,,,,,Eine von mehreren geichartigen Dachskulpturen an den Wohngebäuden in der  Umgebung.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4094844 52.5519224),sculpture,bronze,Für Bettina und Achim von Arnim,artwork,,yes,Q107545355,,Michael Klein,,,,,,File:Skulptur Arnimplatz (Prenz) Bettina Achim von Arnim&Michael Klein&1997.jpg,survey,,https://michael-klein-skulpturen.de/project/skulpturengruppe-bettina-und-achim-von-arnim/,,,,,,,,,,,,,,,,Q1928205,,,,,,0,de:Michael Klein (Künstler),0,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3525944 52.5434623),sculpture,,Dieselmotor,artwork,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denkmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3386522 52.503379),sculpture,,Berlin,artwork,,yes,Q4783389,,Brigitte und Martin Matschinsky-Denninghoff,,Berlin,1987,,,,,no,,,,,,,Berlin,,,,,,Берлин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3691757 52.5146836),statue,bronze,Amazone zu Pferde,artwork,File:Tuaillon1.jpg,,Q123390108,,Louis Tuaillon,,,1906,Q20925486,de:Amazone zu Pferde (Tuaillon),Category:Amazone zu Pferde (Louis Tuaillon),,,,,,,,,,,,,,,,,,equestrian,Q445407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.427289 52.5436919),,granite,Sonnenuhr,artwork,https://commons.wikimedia.org/wiki/File:Sonnenuhrprenzlaueralleeberlin_-_5.jpeg,yes,Q96375506,,Joachim Liebscher,,,1986,,,Category:Sonnenuhr (Berlin-Prenzlauer Berg),,,,,,,,,,,,,,,,,,,Q1438851,,,,,,,,,,clock,yes,sundial,1.50,"Die Sonnenuhr zeigt die wahre Ortszeit | Mitteleuropäische Zeit = wahre Ortszeit + 6 Minuten - Zeitgleichung | Verspätung gegen 15° östlicher Länge, dem Meridian der Mitteleuropäischen Zeit (MEZ) 6 Minuten 17 Sekunden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3819699 52.4896516),sculpture,bronze,Der seltene Fang,artwork,,no,Q115959506,,Ernst Herter,,,,,,Category:Der seltene Fang im Viktoriapark (Berlin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.382422 52.4894295),sculpture,,Wir haben Gesichter,artwork,,no,Q20644508,de:Wir haben Gesichter,,,,,,,Category:Wir haben Gesichter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5433785 52.4597546),sculpture,stone,Pionierleiter mit jungen Pionieren,artwork,,,,,Felix Krause,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1934453 52.5131821),sculpture,bronze,Schreitendes Mädchen,artwork,,,Q110124732,,Fritz Röll,,,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,Zum Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3991493 52.5190984),,,Granitschale im Lustgarten,artwork,https://photos.app.goo.gl/PSChvgsTE3TCdwkA8,yes,Q1543108,de:Granitschale im Lustgarten,Christian Gottlieb Cantian,,,1827..1834,,,Category:Granite bowl (Lustgarten Berlin),,,,4,lda,,,Baudenkmal,,,,,,,,,09012501,,,,,,,,,,,,,,,,,,,Johann Gottlieb Christian Cantian,https://denkmaldatenbank.berlin.de/daobj.php?obj_dok_nr=09012501,Berliner Suppenschüssel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.364366 52.5179289),sculpture,bronze,Large Divided Oval: Butterfly,artwork,https://photos.app.goo.gl/vcCddKGFoDsur24L7,yes,Q19759066,,Henry Moore,,,1985,,,Category:Large Divided Oval: Butterfly - Henry Moore (LH 571b),,,,,,,,,,,,,,,Бабочка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3934583 52.5176016),,,Wilhelm von Humboldt,artwork,http://commons.wikimedia.org/wiki/File:Statue_Unter_den_Linden_6_%28Mitte%29_Wilhelm_von_Humboldt.jpg,no,Q24976694,de:Wilhelm-von-Humboldt-Denkmal (Berlin),,,,,,,"Category:Statue of Wilhelm von Humboldt, Berlin",,,,4,lda,memorial,https://photos.app.goo.gl/LE7e77wsHg1QjmcU6,Baudenkmal,,,,,,,,,09060127,,,,,,statue,,,,,,,,,,,,,,,,S,Вільгельм Гумбальдт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3940809 52.5176423),,,Alexander von Humboldt,artwork,http://commons.wikimedia.org/wiki/File:Humboldt_Alexander.jpg,no,Q17351109,de:Alexander-von-Humboldt-Denkmal (Berlin),,,,,,,"Category:Statue of Alexander von Humboldt, Berlin",,,,4,lda,memorial,https://photos.app.goo.gl/5GShYhoAjLBCa5VN6,Baudenkmal,Alexander von Humboldt,,,,,Aleksanderis fon Humboltas,,,09060120,,,,,,statue,,,,,,,,,,,,,,,,S,Аляксандр Гумбальдт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3886648 52.5172656),statue,bronze,Walther Tell,artwork,,,Q121841202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Statue bildet den Sohn von Wilhelm Tell, Walther Tell; cf https://www.tagesspiegel.de/berlin/fotoband-und-dvd-bunte-bilder-einer-dunklen-zeit/8922418.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5458011 52.4655419),statue,bronze,Aus der Asche unserer Toten,artwork,,,Q112845540,,Hans Kies,,,1966,,,Category:Aus der Asche unserer Toten keimt die neue Saat (Hans Kies),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aus der Asche unserer Toten keimt die neue Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4367861 52.5388231),statue,,Knabe mit Fisch,artwork,,,Q96464668,,,,,,,,Category:Knabe mit Fisch (Volkspark Anton Saefkow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4044029 52.5461714),statue,,Walrosse,artwork,,,Q111008339,,Stephan Horota,,,,,,File:Stefan Horota Walrosse.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4001013 52.5802136),statue,stone,Goldstatue / Venus,artwork,,yes,Q115610737,,,,,,,,"Category:Venus (Hermann-Hesse-Straße 19, Berlin-Niederschönhausen)",,,https://bildhauerei-in-berlin.de/bildwerk/venus-8017/,,,yes,,,,,,,,,,,,,,Giebelfigur der abgerissenen Villa,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4078914 52.5785282),statue,bronze,"""Inge""",artwork,,,Q109773004,,Walter Arnold,,,1950,,,Category:Mädchen (1950 by Walter Arnold),,,https://bildhauerei-in-berlin.de/bildwerk/inge-7981/,,,,,,,,,,,,,,,,,Bronzeplastik eines Mädchens (1950),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5747384 52.4457848),statue,bronze,Hauptmann von Köpenick,artwork,,yes,Q110163243,,Spartak Babajan,,,1996,,,Category:Statue of the Captain of Köpenick in Front of the Town Hall Köpenick,,,https://bildhauerei-in-berlin.de/bildwerk/hauptmann-von-koepenick-9583/,,,,,,,,,,,,,,,,,"Wilhelm Voigt, ""Hauptmann von Köpenick""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
